alpha,beta,mean_tat,median_tat,std_tat,min_tat,max_tat,tat_values,n_completed,total_energy_used,avg_tasks_per_gse
0.5,0.2,231.73529411764707,193.5,181.6083874753148,43.0,686.0,"[56.0, 63.0, 54.0, 61.0, 65.0, 116.0, 182.0, 250.0, 291.0, 330.0, 378.0, 372.0, 463.0, 272.0, 486.0, 43.0, 485.0, 541.0, 554.0, 686.0, 57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 118.0, 127.0, 59.0, 205.0, 235.0, 219.0, 443.0, 336.0]",17.0,2184.439999999999,4.125
0.5,0.3,261.95,211.5,217.1542021237443,54.0,804.0,"[56.0, 63.0, 54.0, 60.0, 68.0, 98.0, 63.0, 122.0, 136.0, 218.0, 229.0, 147.0, 321.0, 323.0, 325.0, 234.0, 407.0, 519.0, 390.0, 522.0, 579.0, 606.0, 804.0, 581.0, 657.0, 765.0, 57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 118.0, 127.0, 59.0, 205.0, 235.0, 219.0, 443.0, 336.0]",20.0,2631.3800000000033,4.875
0.5,0.4,295.10526315789474,244.0,237.24845842477197,54.0,925.0,"[57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 63.0, 121.0, 179.0, 239.0, 299.0, 228.0, 431.0, 343.0, 418.0, 304.0, 513.0, 521.0, 610.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",19.0,2562.520000000001,4.4375
0.5,0.5,297.96875,247.5,243.6763330186941,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 359.0, 70.0, 135.0, 221.0, 246.0, 337.0, 367.0, 422.0, 586.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",16.0,2123.479999999999,3.875
0.5,0.6,297.96875,247.5,243.6763330186941,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 359.0, 70.0, 135.0, 221.0, 246.0, 337.0, 367.0, 422.0, 586.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",16.0,2123.479999999999,3.875
0.5,0.7,297.96875,247.5,243.6763330186941,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 359.0, 70.0, 135.0, 221.0, 246.0, 337.0, 367.0, 422.0, 586.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",16.0,2123.479999999999,3.875
0.5,0.8,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.5,0.9,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.5,1.0,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.6,0.1,231.73529411764707,193.5,181.6083874753148,43.0,686.0,"[56.0, 63.0, 54.0, 61.0, 65.0, 116.0, 182.0, 250.0, 291.0, 330.0, 378.0, 372.0, 463.0, 272.0, 486.0, 43.0, 485.0, 541.0, 554.0, 686.0, 57.0, 56.0, 60.0, 77.0, 65.0, 74.0, 118.0, 127.0, 59.0, 205.0, 235.0, 219.0, 443.0, 336.0]",17.0,2184.439999999999,4.125
